,score
0,1
1,0.996854308758836
2,0.993864059140793
3,0.990540726433995
4,0.988024085951887
5,0.985353191811232
6,0.982918769834269
7,0.980741420191466
8,0.97926267628728
9,0.976995772586832
10,0.974474215892755
11,0.972348967970052
12,0.970650956427853
13,0.969915351470704
14,0.969679870055334
15,0.972185320094832
16,0.974915457730919
17,0.97813209615922
18,0.981359380230848
19,0.984493028719272
20,0.98764333464604
21,0.990184786108191
22,0.992303614822488
23,0.993573246422487
24,0.994112320754941
25,0.991324524580823
26,0.988444702737911
27,0.985992896859386
28,0.983603523811861
29,0.981392213329978
30,0.979434203939803
31,0.977809041934505
32,0.976392363960491
33,0.975438783361573
34,0.975359459722746
35,0.976299945096211
36,0.977280846114237
37,0.97775708004841
38,0.978201457677989
39,0.979220203779702
40,0.980077000570998
41,0.98094749276523
42,0.981733317142725
43,0.98251605290157
44,0.982904513467039
45,0.98320713858962
46,0.983475080674567
47,0.983426756224818
48,0.983194305333674
49,0.982338259383128
50,0.981659682313846
51,0.981495221857735
52,0.981646973148314
53,0.981645018866216
54,0.98155457771494
55,0.981245220705215
56,0.981049735371159
57,0.980847325128655
58,0.981039966576261
59,0.981559843132624
60,0.982066054523088
61,0.982416317273456
62,0.982710022555388
63,0.98374863633906
64,0.984655079261236
65,0.985596469700599
66,0.986371587407331
67,0.987321803077568
68,0.987905216449533
69,0.987872669514689
70,0.987872951147715
71,0.987398472939192
72,0.986883055557261
73,0.985698283288502
74,0.984635596761381
75,0.984172289129519
76,0.983605192665801
77,0.982995898852201
78,0.982379221307011
79,0.982105679388507
80,0.981792090366591
81,0.981687620981697
82,0.981763424432985
83,0.981767762794504
84,0.981873076735189
85,0.981654551159653
86,0.981687883336814
87,0.982311752065075
88,0.983060913269747
89,0.983723376268883
90,0.984140945911075
91,0.984535955165661
92,0.984797859892719
93,0.98527933379131
94,0.985860024685439
95,0.986232223028572
96,0.986503910958346
97,0.986019907791853
98,0.985437721181031
99,0.985254344231106
100,0.985063467106852
101,0.984633711739811
102,0.984172500947883
103,0.983506745031266
104,0.982783984290085
105,0.98222079004908
106,0.981500559768279
107,0.980612097014975
108,0.979420461938648
109,0.977836570208451
110,0.97631183773465
111,0.97499682273724
112,0.973405275613908
113,0.972279813537095
114,0.970318310350082
115,0.968816245460375
116,0.967167342763917
117,0.965679811078021
118,0.96444879697176
119,0.962967482500936
120,0.962168473783541
121,0.960308221728638
122,0.958522959661683
123,0.956858095757806
124,0.956720538268735
125,0.956155144341542
126,0.95576244906085
127,0.954927824258326
128,0.95313641037648
129,0.952033808673898
130,0.950846106928094
131,0.951083289356596
132,0.951402286522755
133,0.950650724365129
134,0.949329221492081
135,0.946350349655523
136,0.944495317479675
137,0.943172246969626
138,0.943030327407617
139,0.941936439938342
140,0.940577968755135
141,0.938587601540802
142,0.937154908281171
143,0.93696616920837
144,0.936288462575812
145,0.936612540823865
146,0.93635318980268
147,0.93562945341379
148,0.936475629956122
149,0.93730952982708
150,0.937762351222703
151,0.938753215004781
152,0.939823668775357
153,0.939508125995701
154,0.939651384495018
155,0.939950253978065
156,0.939973050065133
157,0.940388934727461
158,0.939063255655446
159,0.938339686042838
160,0.938466056501314
161,0.937642398838265
162,0.937045789097692
163,0.93729296624522
164,0.936838613878868
165,0.936944264248534
166,0.936690346727296
167,0.935544582482457
168,0.934437961437622
169,0.93375607547598
170,0.932915370701351
171,0.932311113500548
172,0.931357489853414
173,0.931228836904125
174,0.93136278932671
175,0.932687168424133
176,0.934917430574344
177,0.93766543116216
178,0.940358932655398
179,0.94245557780643
180,0.944709573500841
181,0.947514658405135
182,0.949994319185068
183,0.952066347224826
184,0.954374886933349
185,0.956633159131524
186,0.957497699866022
187,0.959112602539127
188,0.960629849335687
189,0.962772731327673
190,0.964450256657759
191,0.96583610903967
192,0.967010315941337
193,0.968418434047052
194,0.970322524906328
195,0.971286135719326
196,0.972819138934447
197,0.974291152249246
198,0.975928030627214
