,score
0,1
1,0.999668391692901
2,0.999405440257267
3,0.997373793794324
4,0.995125869039798
5,0.992065283999074
6,0.988624568016513
7,0.984953807684433
8,0.981331393300524
9,0.975605506400508
10,0.96953708585109
11,0.963156233327233
12,0.956943233645057
13,0.952215262273733
14,0.947675909420284
15,0.945576036281784
16,0.943749851975607
17,0.942610248162749
18,0.941644919403803
19,0.941330861766216
20,0.941182462212627
21,0.942025586334587
22,0.943122683390029
23,0.945161830196276
24,0.947484265445073
25,0.949028402510036
26,0.951099129038719
27,0.954243055194479
28,0.957514236444303
29,0.959985425016555
30,0.962071103705581
31,0.963560602337452
32,0.964750171696005
33,0.964819252584753
34,0.964429039278008
35,0.962986137437561
36,0.961139574791459
37,0.958573566271954
38,0.956293143773478
39,0.95602558582132
40,0.956058543504614
41,0.956668238848631
42,0.957433609519926
43,0.958494355946498
44,0.95948353529375
45,0.960829263150068
46,0.962006816765437
47,0.9632330580387
48,0.964091396631144
49,0.963525907853979
50,0.96316867927923
51,0.963047074606066
52,0.963108310937973
53,0.963278775349902
54,0.963474284706271
55,0.963462274365504
56,0.963574400562372
57,0.963912170428815
58,0.964195353425733
59,0.964542458842059
60,0.964590928784181
61,0.964306417758478
62,0.963493818423734
63,0.962999908026687
64,0.962449773196577
65,0.962038725608339
66,0.961703770115072
67,0.961197105581998
68,0.960689044422421
69,0.960107049651123
70,0.959547571202216
71,0.959329536705125
72,0.95960114199287
73,0.959424484434855
74,0.959257397270298
75,0.959486937342769
76,0.959566195495587
77,0.959602694677234
78,0.959755104227808
79,0.959993380118646
80,0.960227330481023
81,0.959832635289552
82,0.959517174533576
83,0.959649267565523
84,0.960185767410758
85,0.959839685845634
86,0.959499459318381
87,0.959456790851079
88,0.959383212949514
89,0.959423792343763
90,0.959653100040707
91,0.95999433403525
92,0.960202848097757
93,0.959780908150006
94,0.958992739078099
95,0.95845082764098
96,0.957944708445071
97,0.957171546623659
98,0.956345870139897
99,0.955559430913619
100,0.954653498478173
101,0.954078131990998
102,0.953566229466591
103,0.953311576912382
104,0.953092831063561
105,0.952914650549405
106,0.952938894142622
107,0.952754195274241
108,0.952580737242742
109,0.952569269333267
110,0.952521324873387
111,0.952349893565128
112,0.952287791888291
113,0.952312000265145
114,0.952482512879072
115,0.953500514433938
116,0.954605015654264
117,0.956182522041927
118,0.957678618423217
119,0.958823833155438
120,0.959848361561585
121,0.960856230310021
122,0.961666169244034
123,0.962695553135697
124,0.963520578037186
125,0.963714864726327
126,0.963709895878433
127,0.963398669491528
128,0.963385167904535
129,0.963438128071188
130,0.963253615424518
131,0.962945092427039
132,0.962485568225613
133,0.961737237830897
134,0.961177275419534
135,0.960947820257396
136,0.960817835809613
137,0.960710648297454
138,0.960671096216726
139,0.960487043857174
140,0.960671817890954
141,0.960909536875201
142,0.961343252931371
143,0.961621136846342
144,0.961736677200016
145,0.961635802898536
146,0.961264465445352
147,0.961300487280621
148,0.961030126078247
149,0.961271753470077
150,0.961641825890013
151,0.961905935425885
152,0.962063268249822
153,0.962444983751022
154,0.962823099010103
155,0.963157169365165
156,0.963612490505876
157,0.963426175059325
158,0.963209470927909
159,0.962921804851078
160,0.962648980444157
161,0.962360122950774
162,0.961867332551594
163,0.961083251388247
164,0.960264725659523
165,0.959137481957659
166,0.958580200769302
167,0.958113166531816
168,0.95755825128793
169,0.956586672889178
170,0.955506907628862
171,0.954563092221016
172,0.953973235574941
173,0.953758503232801
174,0.95366299635612
175,0.953810656551042
176,0.952735901487359
177,0.951519796065788
178,0.951501745533595
179,0.951628540519739
180,0.951744982106516
181,0.951671690479763
182,0.951494954720198
183,0.951499789194312
184,0.951605451764859
185,0.951501077889859
186,0.951915087692939
187,0.952193445258504
188,0.951790255864371
189,0.951366069547921
190,0.951245545567458
191,0.951681390767818
192,0.952183535827753
193,0.95208074803987
194,0.952102335512424
195,0.952182421214033
196,0.952465682426117
197,0.95320122615327
198,0.953680830932186
199,0.954047964017428
200,0.954317307853769
201,0.954368447605386
202,0.954299102851489
203,0.954640647505685
204,0.95502148143432
205,0.955333274788275
206,0.955270140382498
207,0.955083721355752
208,0.954790151100406
209,0.954458391413606
210,0.953969931775026
211,0.953396634281495
212,0.952945643722753
213,0.952281457959031
214,0.951361011018768
215,0.950252491261732
216,0.948910846660517
217,0.948185941480529
218,0.947392947195721
219,0.947610840071998
220,0.947490686975867
221,0.947337819557572
222,0.947501533271165
223,0.947944210887043
224,0.948474874228924
225,0.949530694907054
226,0.95075881468197
227,0.950871089248703
228,0.950940231409814
229,0.950257183062021
230,0.949797692391641
231,0.949708784660883
232,0.949420857202982
233,0.948879519978383
234,0.948319985146674
235,0.947532732851592
236,0.946952700008552
237,0.946949945503319
238,0.947187672942783
239,0.947527166828164
240,0.948000968791978
241,0.948114281213866
242,0.947914924447918
243,0.948136508660283
244,0.947955876914074
245,0.948015956920835
246,0.948103678101553
247,0.948264173966192
248,0.948159440028167
249,0.948019885936748
250,0.947834231043283
251,0.947434695436762
252,0.946937233950654
253,0.945788192174342
254,0.945272947089924
255,0.945324427313286
256,0.945475910100023
257,0.945666577274149
258,0.945986116093826
259,0.945873797551137
260,0.945890434534292
261,0.946017720238153
262,0.946210395971534
263,0.946679764389719
264,0.946989222362185
265,0.946444573975422
266,0.945781062860892
267,0.945269769637703
268,0.944970000222641
269,0.944796606500078
270,0.944498239874806
271,0.944309680654257
272,0.944271852041345
273,0.944328462732778
274,0.944202515347932
275,0.944282007194566
276,0.944685078063819
277,0.944984948371142
278,0.944979392696035
279,0.945496513449713
280,0.946139392728565
281,0.946730892363637
282,0.947091041244661
283,0.947514856950304
284,0.948118897441317
285,0.949067434619119
286,0.949989976720183
287,0.95078556574479
288,0.951619301011484
289,0.951822776258104
290,0.951754518774322
291,0.951881020575036
292,0.952473737346721
293,0.953086666353685
294,0.953797723085314
295,0.954264350265147
296,0.954508948231155
297,0.954215100854324
298,0.953978319825823
299,0.953997417895824
300,0.954159452151671
301,0.953814103738186
302,0.95294148089384
303,0.95216289744814
304,0.951012712359839
305,0.949863807983157
306,0.949224974648592
307,0.949172607246725
308,0.948928929019088
309,0.94867009152784
