,score
0,1
1,0.998064852171795
2,0.994655089744162
3,0.988500654047188
4,0.983443567520017
5,0.978025255156013
6,0.972753486649781
7,0.967417785033372
8,0.962396362524881
9,0.95473080383466
10,0.947119860616257
11,0.941658601830968
12,0.936895436544767
13,0.936472946935476
14,0.934935091385024
15,0.935150927530324
16,0.936465544490184
17,0.939342611696615
18,0.94267368026624
19,0.945462387627533
20,0.948596339927191
21,0.949244751683402
22,0.948594914797649
23,0.944720796412041
24,0.941114784386148
25,0.935164918530356
26,0.964067085387712
27,0.963541676708156
28,0.953280106185914
29,0.946817348431148
30,0.935795358194235
31,0.922783788612595
32,0.910574058739992
33,0.905755244887642
34,0.896613503579308
35,0.891649537910528
