,score
0,0.948521014081354
1,0.947335014804748
2,0.948471238045855
3,0.9511912083278
4,0.953288675938083
5,0.95376860664423
6,0.952892788645033
7,0.951521462964318
8,0.949197575041078
9,0.949623756098702
10,0.953781250470997
11,0.957540518425292
12,0.958780511597244
13,0.958967101416042
14,0.960454304099442
15,0.960369482232873
16,0.961468127581902
17,0.963659932373297
18,0.966514179883949
19,0.967339302635435
20,0.964493428902603
21,0.961863624950521
22,0.960430670015529
23,0.958441440350607
24,0.954999081839628
25,0.952793316100159
26,0.950946767592625
27,0.948259763248994
28,0.946161918123638
29,0.945043338116526
30,0.946645662464249
31,0.947043899624415
32,0.946220255558654
33,0.946008637524614
34,0.944076452460825
35,0.945200192088748
36,0.94796478123697
37,0.949399891585968
38,0.95140526242939
39,0.952249196779708
40,0.951840598414091
41,0.951902235159347
42,0.951062999898017
43,0.949480212740808
44,0.950851833311871
45,0.951215922671968
46,0.949997454768453
47,0.948751194867643
48,0.944755464323582
49,0.941591946476728
50,0.940417716123336
51,0.941525398457275
52,0.944915673382371
53,0.949290844045125
54,0.95283124107327
55,0.954389701000363
56,0.95479652345728
57,0.955574152857266
58,0.958882562195977
59,0.964577452694985
60,0.970212346895652
61,0.973790765575937
62,0.974682683607061
63,0.974075779458944
64,0.972337738685914
65,0.973185978955138
66,0.976378232470205
67,0.980524027982447
68,0.983025335386847
69,0.98243726665232
70,0.981816202348845
71,0.980082581065748
72,0.980263002631388
73,0.980801015702725
74,0.982107776062222
75,0.982402580855142
76,0.982328572927499
77,0.982467306575308
78,0.982001854724502
79,0.980668955170474
80,0.977518173923171
81,0.977180906592656
82,0.97609895591834
83,0.975053692709058
84,0.974231400082072
85,0.972246870378672
86,0.968626931188952
87,0.965323512427272
88,0.96477117041643
89,0.966838716181722
90,0.970008818987957
91,0.972261386216585
92,0.975151520894054
93,0.977407815927928
94,0.978969702440568
95,0.980526435195964
96,0.98191667949393
97,0.982905268180712
98,0.981660723207664
99,0.979658087252691
100,0.977339883425374
101,0.974080362386945
102,0.971225936238407
103,0.96909138064749
104,0.968333274043805
105,0.970014754888861
106,0.975627793532551
107,0.982272437941317
108,0.98686849862882
109,0.990341083734016
110,0.992809957626212
111,0.99626400925007
112,0.997685593090218
113,0.998526748118388
114,1
115,0.999733489207089
116,0.996264771958486
117,0.991004991655873
118,0.988060369064292
119,0.98511328384236
120,0.982701739013351
121,0.979740681674521
122,0.978679990378964
123,0.977796630031011
124,0.977791574285953
125,0.979187509823084
126,0.980009391585184
127,0.981714796378453
128,0.981860076665251
129,0.981191694180894
130,0.979261494534978
131,0.977646375620442
132,0.974752297974338
133,0.972751079007987
134,0.969899107891072
135,0.965871056471037
136,0.963085660774984
137,0.959187756640956
138,0.956666993624827
139,0.955662460405269
140,0.957106216352732
141,0.958956962057733
142,0.962100963603378
143,0.965520874032031
144,0.966741811279232
145,0.967041886584195
146,0.966479869608458
147,0.966600684394642
148,0.965575524943182
149,0.96432943990774
150,0.961588971548294
151,0.958961115804705
152,0.956034224585406
153,0.952391702909799
154,0.950459822815238
155,0.949059355428204
156,0.947761446033937
157,0.946032266735616
158,0.945634492995673
159,0.945506960287049
160,0.945575615669858
161,0.945637091261581
162,0.946965587854911
163,0.94662743823541
164,0.945620613959464
165,0.945226069028994
166,0.944871777982117
167,0.945008578707872
168,0.945832633225573
169,0.946730598945501
170,0.947889415516998
171,0.961697344093176
172,0.941357644981742
173,0.938622302774808
174,0.946292664137955
175,0.943028057080604
176,0.942060362661919
177,0.951462999971214
178,0.955719134846759
179,0.950878005726355
